"(53, -1) (72,-1) (78,-1) (125,-1) (192,-1) (196,-1) (355,-1) (374,-1) (393,34) (407,-1) (407,-1) (502,-1) (528,-1) (534,1) (647,-1) (702,-1) (722,2) (762,-1) (845,14) (876,-1) (891,-1) (934,40) (942,-1) (963,47) (1073,7) (1182,20);0"
"(34, -1) (63,-1) (81,-1) (87,-1) (143,-1) (159,-1) (203,-1) (226,-1) (247,-1) (337,-1) (438,37) (483,-1) (561,45) (572,-1) (620,-1) (635,42) (641,-1) (648,-1) (750,29) (812,-1) (817,15) (897,-1) (911,6) (917,-1) (940,-1) (974,-1) (976,-1) (1031,39);0"
"(104, -1) (106,-1) (126,-1) (138,-1) (183,-1) (225,-1) (237,-1) (275,-1) (301,-1) (304,-1) (459,41) (483,47) (493,-1) (521,-1) (636,1) (648,48) (656,-1) (673,33) (698,-1) (718,-1) (739,37) (770,-1) (812,-1) (911,-1) (930,34) (987,-1);0"
"(37, -1) (87,-1) (122,-1) (317,48) (350,49) (353,-1) (389,30) (405,-1) (422,30) (430,6) (435,-1) (455,-1) (484,11) (537,-1) (550,-1) (593,-1) (600,-1) (615,-1) (696,-1) (754,-1) (858,-1) (920,-1) (939,-1) (973,-1) (982,-1) (991,-1);0"
"(44, -1) (49,24) (50,-1) (130,45) (183,-1) (198,-1) (209,-1) (277,6) (295,-1) (332,40) (474,-1) (475,-1) (480,33) (583,41) (643,37) (643,-1) (646,-1) (782,-1) (809,23) (852,-1) (877,38);0"
"(21, -1) (85,-1) (91,-1) (133,2) (200,-1) (247,-1) (255,-1) (279,25) (292,-1) (318,14) (348,-1) (365,17) (375,-1) (376,-1) (511,-1) (557,48) (576,-1) (639,37) (714,45) (759,14) (851,-1) (858,-1) (913,-1) (956,-1);0"
"(59, -1) (84,-1) (85,-1) (110,-1) (163,18) (249,13) (275,-1) (332,-1) (396,39) (410,-1) (414,-1) (440,-1) (509,-1) (577,30) (647,-1) (664,30) (668,25) (693,-1) (759,-1) (781,-1) (786,27) (805,-1) (836,-1) (872,-1) (958,-1);0"
"(26, -1) (56,-1) (161,-1) (228,-1) (287,-1) (293,-1) (297,-1) (313,48) (390,-1) (410,28) (471,35) (553,-1) (563,18) (715,-1) (720,-1) (723,40) (738,-1) (762,-1) (784,-1) (820,41) (854,19) (921,-1) (927,-1) (979,-1) (989,4) (993,-1);0"
"(50, -1) (60,-1) (85,-1) (94,-1) (223,-1) (243,-1) (247,-1) (249,-1) (253,-1) (279,-1) (401,-1) (413,20) (454,6) (473,-1) (504,-1) (560,-1) (563,-1) (595,29) (615,-1) (686,-1) (700,32) (851,-1) (856,25) (901,-1) (917,46) (938,-1) (992,19);0"
"(7, -1) (36,-1) (44,2) (176,-1) (189,25) (228,14) (239,-1) (264,-1) (275,17) (277,-1) (394,48) (413,-1) (438,-1) (464,-1) (481,-1) (500,37) (561,-1) (603,-1) (635,45) (639,-1) (653,-1) (660,-1) (682,14) (764,-1) (871,-1) (912,-1) (937,-1);0"
"(70, 0) (111,-1) (143,45) (153,-1) (178,21) (191,-1) (231,26) (239,-1) (303,-1) (304,27) (314,-1) (337,-1) (377,4) (409,-1) (441,-1) (480,-1) (499,-1) (503,25) (813,-1) (837,-1) (892,-1);0"
"(44, -1) (194,-1) (198,-1) (208,39) (216,-1) (275,26) (325,-1) (357,-1) (371,-1) (378,17) (510,5) (515,-1) (580,-1) (628,37) (645,-1) (655,33) (714,-1) (768,-1) (812,-1) (817,-1) (819,-1) (859,41) (1033,12);0"
"(34, -1) (54,-1) (57,-1) (103,-1) (216,-1) (217,25) (217,-1) (239,-1) (279,34) (282,-1) (347,-1) (364,-1) (374,6) (436,13) (451,-1) (456,-1) (464,5) (466,-1) (496,-1) (556,19) (584,39) (616,-1) (617,-1) (646,-1) (726,-1) (727,-1) (752,-1) (752,-1) (944,-1);0"
"(4, -1) (91,-1) (146,-1) (172,-1) (183,-1) (187,16) (192,35) (193,-1) (230,3) (294,49) (317,15) (332,-1) (359,-1) (366,-1) (407,17) (432,-1) (454,-1) (529,-1) (600,-1) (661,-1) (767,-1) (785,-1) (792,-1) (832,-1) (839,-1) (984,-1);0"
